,['n. \xe5\x88\x86\xe8\xa7\xa3\xef\xbc\x9b\xe7\xbb\x86\xe7\x9b\xae\xe5\x88\x86\xe7\xb1\xbb']
icon,['n. \xe5\x9c\xa3\xe5\x83\x8f\xef\xbc\x8c\xe5\x81\xb6\xe5\x83\x8f']
lawn,['n. \xe8\x8d\x89\xe5\x9c\xb0\xef\xbc\x8c\xe8\x8d\x89\xe5\x9d\xaa\xef\xbc\x8c\xe8\x8d\x89\xe5\x9c\xba']
log cabin,['\xe8\xaf\x8d\xe7\xbb\x84 \xe5\xb0\x8f\xe6\x9c\xa8\xe5\xb1\x8b']
incisive,['adj. \xe6\xb7\xb1\xe5\x88\xbb\xe7\x9a\x84\xef\xbc\x8c\xe5\xb0\x96\xe9\x94\x90\xe7\x9a\x84']
average,['adj. \xe4\xb8\x80\xe8\x88\xac\xe7\x9a\x84\xef\xbc\x8c\xe9\x80\x9a\xe5\xb8\xb8\xe7\x9a\x84\xef\xbc\x9b\xe5\xb9\xb3\xe5\xba\xb8\xe7\x9a\x84']
adopt,['vt. \xe9\x87\x87\xe7\x94\xa8\xef\xbc\x8c\xe9\x87\x87\xe7\xba\xb3']
steady,['adj. \xe7\xa8\xb3\xe7\x9a\x84\xef\xbc\x8c\xe7\x89\xa2\xe5\x9b\xba\xe7\x9a\x84']
beaded,['adj. \xe4\xbb\xa5\xe7\x8f\xa0\xe8\xa3\x85\xe9\xa5\xb0\xe7\x9a\x84\xef\xbc\x8c\xe7\x8f\xa0\xe7\x8a\xb6\xe7\x9a\x84']
virtually,['adv. \xe4\xba\x8b\xe5\xae\x9e\xe4\xb8\x8a\xef\xbc\x8c\xe5\xae\x9e\xe8\xb4\xa8\xe4\xb8\x8a']
sunset,['n. \xe6\x97\xa5\xe8\x90\xbd']
readjust,['vt. \xe9\x87\x8d\xe6\x96\xb0\xe8\xb0\x83\xe6\x95\xb4']
professional,['adj. \xe4\xb8\x93\xe4\xb8\x9a\xe7\x9a\x84\xef\xbc\x8c\xe8\x81\x8c\xe4\xb8\x9a\xe7\x9a\x84']
locoweed,['n. [\xe6\xa4\x8d] \xe7\x96\xaf\xe8\x8d\x89(\xe7\x89\xb2\xe7\x95\x9c\xe9\xa3\x9f\xe5\x90\x8e\xe5\xbc\x95\xe8\xb5\xb7\xe7\x96\xaf\xe8\x8d\x89\xe7\x97\x85)']
detective,['n. \xe4\xbe\xa6\xe6\x8e\xa2']
perch,['n. \xe6\xa0\x96\xe6\x9c\xa8  v. \xef\xbc\x88\xe4\xbd\xbf\xef\xbc\x89\xe6\xa0\x96\xe6\x81\xaf']
permeable,['adj. \xe6\x9c\x89\xe6\xb5\xb8\xe9\x80\x8f\xe6\x80\xa7\xe7\x9a\x84\xef\xbc\x8c\xe8\x83\xbd\xe9\x80\x8f\xe8\xbf\x87\xe7\x9a\x84']
forage,['n. \xe8\x8d\x89\xe6\x96\x99']
fishy,['adj. \xe9\xb1\xbc\xe7\x9a\x84\xef\xbc\x8c\xe9\xb1\xbc\xe5\x91\xb3\xe7\x9a\x84\xef\xbc\x9b\xe8\x85\xa5\xe8\x87\xad\xe7\x9a\x84']
restriction,['n. \xe9\x99\x90\xe5\x88\xb6\xef\xbc\x8c\xe7\xba\xa6\xe6\x9d\x9f']
glaze,['vt. \xe8\xa3\x85\xe7\x8e\xbb\xe7\x92\x83\xef\xbc\x8c\xe4\xb8\x8a\xe9\x87\x89\xef\xbc\x8c\xe4\xbd\xbf\xe8\xa1\xa8\xe9\x9d\xa2\xe5\x85\x89\xe6\xbb\x91']
supposition,['n. \xe5\x81\x87\xe5\xae\x9a']
atom,['n. \xe5\x8e\x9f\xe5\xad\x90']
recipe,['n. \xe9\xa3\x9f\xe8\xb0\xb1\xef\xbc\x8c\xe5\xa4\x84\xe6\x96\xb9']
contemporary,['adj. \xe5\xbd\x93\xe4\xbb\xa3\xe7\x9a\x84\xef\xbc\x8c\xe5\x90\x8c\xe6\x97\xb6\xe4\xbb\xa3\xe7\x9a\x84']
friction,['n. \xe6\x91\xa9\xe6\x93\xa6']
far-reaching,['adj. \xe5\xbd\xb1\xe5\x93\x8d\xe6\xb7\xb1\xe8\xbf\x9c\xe7\x9a\x84']
depend on,['\xe8\xaf\x8d\xe7\xbb\x84 \xe4\xbe\x9d\xe9\x9d\xa0\xef\xbc\x8c\xe4\xbe\x9d\xe8\xb5\x96']
elevate,['vt. \xe4\xb8\xbe\xe8\xb5\xb7\xef\xbc\x9b\xe6\x8a\xac\xe9\xab\x98\xef\xbc\x9b\xe4\xbd\xbf\xe4\xb8\x8a\xe5\x8d\x87']
volunteer,['n. \xe8\x87\xaa\xe6\x84\xbf\xe8\x80\x85']
solar cell,['\xe8\xaf\x8d\xe7\xbb\x84 \xe5\xa4\xaa\xe9\x98\xb3\xe8\x83\xbd\xe7\x94\xb5\xe6\xb1\xa0']
threshold,['n. \xe5\xbc\x80\xe5\xa7\x8b\xef\xbc\x8c\xe5\xbc\x80\xe7\xab\xaf']
scarce,['adj. \xe7\xbc\xba\xe4\xb9\x8f\xe7\x9a\x84\xef\xbc\x8c\xe7\xa8\x80\xe6\x9c\x89\xe7\x9a\x84\xef\xbc\x8c\xe7\xbd\x95\xe8\xa7\x81\xe7\x9a\x84']
aggressive,['adj. \xe5\xbc\xba\xe6\x9c\x89\xe5\x8a\x9b\xe7\x9a\x84\xef\xbc\x8c\xe5\x9d\x9a\xe6\x8c\x81\xe5\xb7\xb1\xe8\xa7\x81\xe7\x9a\x84']
superb,['adj. \xe6\x9e\x81\xe5\xa5\xbd\xe7\x9a\x84\xef\xbc\x8c\xe8\xb6\x85\xe7\xba\xa7\xe7\x9a\x84']
yolk,['n. \xe8\x9b\x8b\xe9\xbb\x84']
cornet,['n. \xe7\x9f\xad\xe5\x8f\xb7']
woolen,['adj. \xe7\xbe\x8a\xe6\xaf\x9b\xe5\x88\xb6\xe7\x9a\x84\xef\xbc\x9b\xe6\xaf\x9b\xe7\xbb\x87\xe5\x93\x81\xe7\x9a\x84']
gnaw,['v. \xe5\x92\xac\xef\xbc\x8c\xe5\x95\x83']
draw out,['\xe8\xaf\x8d\xe7\xbb\x84 \xe6\x8b\x94\xe5\x87\xba\xef\xbc\x9b\xe5\xbc\x95\xe8\xb5\xb7']
committee,['n. \xe5\xa7\x94\xe5\x91\x98\xe4\xbc\x9a']
devote,['vt. \xe6\x8a\x95\xe5\x85\xa5\xe4\xba\x8e\xef\xbc\x8c\xe7\x8c\xae\xe8\xba\xab']
gull,['n. \xe9\xb8\xa5\xef\xbc\x8c\xe6\xb5\xb7\xe9\xb8\xa5']
jolt,['n. \xe9\x9c\x87\xe5\x8a\xa8\xef\xbc\x8c\xe9\xa2\xa0\xe7\xb0\xb8']
texture,['n. \xe8\xb4\xa8\xe5\x9c\xb0\xef\xbc\x9b\xef\xbc\x88\xe6\x9d\x90\xe6\x96\x99\xe7\xad\x89\xef\xbc\x89\xe7\xbb\x93\xe6\x9e\x84']
dull,['adj. \xe9\x92\x9d\xe7\x9a\x84\xef\xbc\x9b\xe6\x84\x9f\xe8\xa7\x89\xe6\x88\x96\xe7\x90\x86\xe8\xa7\xa3\xe8\xbf\x9f\xe9\x92\x9d\xe7\x9a\x84']
gulp,['n./vt. \xe5\x90\x9e\xef\xbc\x9b\xe5\x90\x9e\xe5\x92\xbd']
sloop,['n. \xe5\x8d\x95\xe6\xa1\x85\xe5\xb8\x86\xe8\x88\xb9']
stand,['vt. \xe7\xab\x99\xe7\xab\x8b\xef\xbc\x9b\xe5\xbf\x8d\xe5\x8f\x97\xef\xbc\x8c\xe5\xae\xb9\xe5\xbf\x8d']
sweep,['v. \xe5\xb8\xad\xe5\x8d\xb7\xef\xbc\x8c\xe6\x89\xab\xe8\xbf\x87']
glandular,['adj. \xe8\x85\xba\xe4\xbd\x93\xe7\x9a\x84']
deign,['vi. \xe5\xb1\x88\xe5\xb0\x8a']
enthusiasm,['n. \xe7\x83\xad\xe5\xbf\x83\xef\xbc\x8c\xe7\x83\xad\xe6\x83\x85']
stain,['n. \xe6\xb1\xa1\xe7\x82\xb9\xef\xbc\x8c\xe7\x91\x95\xe7\x96\xb5']
humiliate,['vt. \xe7\xbe\x9e\xe8\xbe\xb1\xef\xbc\x8c\xe4\xbd\xbf\xe4\xb8\xa2\xe8\x84\xb8']
stereophotograph,['n. \xe7\xab\x8b\xe4\xbd\x93\xe6\x91\x84\xe5\xbd\xb1\xef\xbc\x8c\xe7\xab\x8b\xe4\xbd\x93\xe7\x9b\xb8\xe7\x89\x87']
awareness,['n. \xe6\x84\x8f\xe8\xaf\x86']
dispute,['n. \xe4\xba\x89\xe8\xae\xba\xef\xbc\x8c\xe7\xba\xa0\xe7\xba\xb7']
hurl,['vt. \xe7\x94\xa8\xe5\x8a\x9b\xe6\x8a\x95\xe6\x8e\xb7']
dissimilar,"['adj. \xe4\xb8\x8d\xe5\x90\x8c\xe7\x9a\x84, \xe7\x9b\xb8\xe5\xbc\x82\xe7\x9a\x84']"
exaggeration,['n. \xe5\xa4\xb8\xe5\xbc\xa0']
barbed wire,['\xe8\xaf\x8d\xe7\xbb\x84 \xe5\xb8\xa6\xe5\x80\x92\xe9\x92\xa9\xe7\x9a\x84\xe9\x93\x81\xe4\xb8\x9d\xef\xbc\x88\xe9\x93\x81\xe4\xb8\x9d\xe7\xbd\x91\xef\xbc\x89']
assistant,['n. \xe5\x8a\xa9\xe6\x89\x8b\xef\xbc\x8c\xe5\x8a\xa9\xe6\x95\x99']
witness,['vt. \xe7\x9b\xae\xe5\x87\xbb\xef\xbc\x9b\xe4\xb8\xba\xe2\x80\xa6\xe4\xbd\x9c\xe8\xaf\x81']
routine,['n. \xe5\xb8\xb8\xe8\xa7\x84\xef\xbc\x8c\xe6\x83\xaf\xe4\xbe\x8b']
admiration,['n. \xe9\x92\xa6\xe4\xbd\xa9\xef\xbc\x8c\xe8\xb5\x9e\xe7\xbe\x8e']
surging,['n. \xe6\xb1\xb9\xe6\xb6\x8c']
tailor,['n. \xe8\xa3\x81\xe7\xbc\x9d\xe5\xb8\x88']
outlet,['n. \xef\xbc\x88\xe6\xb2\xb3\xe6\xb5\x81\xe3\x80\x81\xe7\x83\x9f\xe7\xad\x89\xef\xbc\x89\xe5\x87\xba\xe5\x8f\xa3']
submerge,['v. \xef\xbc\x88\xe4\xbd\xbf\xef\xbc\x89\xe6\xb2\x89\xe6\xb2\xa1\xef\xbc\x8c\xe6\xb7\xb9\xe6\xb2\xa1']
distinctly,['adv. \xe6\xb8\x85\xe6\xa5\x9a\xe5\x9c\xb0\xef\xbc\x8c\xe6\x98\xbe\xe7\x84\xb6']
pestilential,['adj. \xe5\xbc\x95\xe8\xb5\xb7\xe7\x98\x9f\xe7\x96\xab\xe7\x9a\x84']
dye,['n. \xe9\xa2\x9c\xe6\x96\x99\xef\xbc\x8c\xe7\x87\x83\xe6\x96\x99']
vaporization,['n. \xe8\x92\xb8\xe5\x8f\x91']
celebrate,['vt. \xe5\xba\x86\xe7\xa5\x9d\xef\xbc\x8c\xe7\xa5\x9d\xe8\xb4\xba\xef\xbc\x9b\xe8\xa1\xa8\xe6\x89\xac\xef\xbc\x8c\xe8\xb5\x9e\xe7\xbe\x8e']
secondary,['adj. \xe4\xb8\xad\xe7\xba\xa7\xe7\x9a\x84']
prime,['adj. \xe4\xb8\xbb\xe8\xa6\x81\xe7\x9a\x84']
reorient,['v. \xe9\x87\x8d\xe6\x96\xb0\xe7\xa1\xae\xe5\xae\x9a\xe6\x96\xb9\xe5\x90\x91\xef\xbc\x9b\xe5\x86\x8d\xe6\x95\x99\xe8\x82\xb2']
resource,['n. \xe8\xb5\x84\xe6\xba\x90\xef\xbc\x8c\xe8\xb4\xa2\xe5\x8a\x9b\xef\xbc\x9b\xe5\x8a\x9e\xe6\xb3\x95\xef\xbc\x8c\xe6\x99\xba\xe8\xb0\x8b']
skull,['n. \xe5\xa4\xb4\xe9\xaa\xa8']
aluminum,['n. \xe9\x93\x9d']
tube,['n. \xe7\xae\xa1\xe5\xad\x90\xef\xbc\x9b\xe7\x94\xb5\xe5\xad\x90\xe7\xae\xa1\xef\xbc\x8c\xe6\x98\xbe\xe5\x83\x8f\xe7\xae\xa1']
assimilate,['vt. \xe5\xad\xa6\xe4\xb9\xa0\xef\xbc\x8c\xe5\x90\xb8\xe6\x94\xb6\xef\xbc\x88\xe7\x9f\xa5\xe8\xaf\x86\xef\xbc\x89']
fanciful,['adj. \xe7\x88\xb1\xe7\xa9\xba\xe6\x83\xb3\xe7\x9a\x84']
obliterate,['vt. \xe6\xb6\x82\xe6\x8e\x89\xef\xbc\x8c\xe6\x93\xa6\xe6\x8e\x89']
saliva,['n. \xe5\x8f\xa3\xe6\xb0\xb4\xef\xbc\x8c\xe5\x94\xbe\xe6\xb6\xb2']
bowlegged,['adj. \xe5\xbc\xaf\xe8\x84\x9a\xe7\x9a\x84']
yield,['v. \xe7\x94\x9f\xe4\xba\xa7\xef\xbc\x9b\xe4\xba\xa7\xe7\x94\x9f']
naked,['adj. \xe8\xa3\xb8\xe4\xbd\x93\xe7\x9a\x84\xef\xbc\x8c\xe6\x97\xa0\xe9\x81\xae\xe7\x9b\x96\xe7\x9a\x84']
perceptive,['adj. \xe6\x84\x9f\xe7\x9f\xa5\xe7\x9a\x84\xef\xbc\x9b\xe6\x9c\x89\xe6\xb4\x9e\xe5\xaf\x9f\xe5\x8a\x9b\xe7\x9a\x84']
bison,['n. \xe7\xbe\x8e\xe6\xb4\xb2\xe6\x88\x96\xe6\xac\xa7\xe6\xb4\xb2\xe7\x9a\x84\xe9\x87\x8e\xe7\x89\x9b']
laboriously,['adv. \xe8\xb4\xb9\xe5\x8a\x9b\xe5\x9c\xb0\xef\xbc\x8c\xe8\x89\xb0\xe9\x9a\xbe\xe5\x9c\xb0']
uncover,['v. \xe5\x8f\x91\xe7\x8e\xb0\xef\xbc\x8c\xe6\x8f\xad\xe7\xa4\xba']
retentive,['vt. \xe4\xbf\x9d\xe7\x95\x99\xe7\x9a\x84\xef\xbc\x8c\xe6\x9c\x89\xe8\xae\xb0\xe5\xbf\x86\xe7\x9a\x84']
vision,['n. \xe8\xa7\x86\xe8\xa7\x89']
trilogy,['n. \xe4\xb8\x89\xe9\x83\xa8\xe5\x89\xa7\xef\xbc\x8c\xe4\xb8\x89\xe9\x83\xa8\xe6\x9b\xb2']
seamount,['n. \xe6\xb5\xb7\xe5\xba\x95\xe5\xb1\xb1']
kernel,['n. \xe4\xbb\x81\xef\xbc\x8c\xe6\xa0\xb8\xe5\xbf\x83\xef\xbc\x9b(\xe5\x8e\xbb\xe5\xa3\xb3\xe7\x9a\x84)\xe9\xba\xa6\xe7\xb2\x92\xef\xbc\x8c\xe8\xb0\xb7\xe7\xb2\x92']
lethargy,['n. \xe6\x98\x8f\xe7\x9d\xa1\xef\xbc\x8c\xe5\x80\xa6\xe6\x80\xa0']
concert,['n. \xe9\x9f\xb3\xe4\xb9\x90\xe4\xbc\x9a']
ice cream cone,['\xe8\xaf\x8d\xe7\xbb\x84 \xe5\x86\xb0\xe6\xb7\x87\xe6\xb7\x8b\xe8\x9b\x8b\xe5\x8d\xb7']
ken,['n. \xe8\xa7\x86\xe9\x87\x8e\xef\xbc\x8c\xe7\x9f\xa5\xe8\xaf\x86\xe9\xa2\x86\xe5\x9f\x9f']
imposing,"['adj. \xe4\xbd\xbf\xe4\xba\xba\xe9\x9a\xbe\xe5\xbf\x98\xe7\x9a\x84, \xe5\xa3\xae\xe4\xb8\xbd\xe7\x9a\x84']"
attached,['adj. \xe9\x99\x84\xe5\x8a\xa0\xe7\x9a\x84\xef\xbc\x8c\xe9\x99\x84\xe5\xb1\x9e\xe7\x9a\x84']
fable,['n. \xe5\xaf\x93\xe8\xa8\x80\xef\xbc\x8c\xe7\xa5\x9e\xe8\xaf\x9d']
tranquil,['adj. \xe5\xae\x81\xe9\x9d\x99\xe7\x9a\x84\xef\xbc\x8c\xe5\xae\x89\xe9\x9d\x99\xe7\x9a\x84']
stipulation,['n. \xe8\xa7\x84\xe5\xae\x9a\xef\xbc\x8c\xe6\x9d\xa1\xe6\xac\xbe']
famine,['n. \xe9\xa5\xa5\xe8\x8d\x92\xef\xbc\x8c\xe9\xa5\xa5\xe9\xa5\xbf']
actively,['adv. \xe6\xb4\xbb\xe8\xb7\x83\xe5\x9c\xb0\xef\xbc\x8c\xe7\xa7\xaf\xe6\x9e\x81\xe5\x9c\xb0']
newsstand,['n. \xe6\x8a\xa5\xe6\x91\x8a\xef\xbc\x8c\xe6\x9d\x82\xe5\xbf\x97\xe6\x91\x8a']
horned,['adj. \xe6\x9c\x89\xe8\xa7\x92\xe7\x9a\x84\xef\xbc\x8c\xe8\xa7\x92\xe7\x8a\xb6\xe7\x9a\x84']
seam,['n. \xe6\x8e\xa5\xe7\xbc\x9d\xef\xbc\x8c\xe7\xbc\x9d\xe5\x90\x88\xe7\xba\xbf']
explosive,['adj. \xe7\x88\x86\xe7\x82\xb8\xe7\x9a\x84\xef\xbc\x9b\xe6\x98\x93\xe7\x88\x86\xe5\x8f\x91\xe7\x9a\x84']
overwhelm,['vt. \xe6\x88\x98\xe8\x83\x9c\xef\xbc\x9b\xe5\x8e\x8b\xe5\x80\x92']
diver,['n. \xe6\xbd\x9c\xe6\xb0\xb4\xe8\x80\x85\xef\xbc\x8c\xe8\xb7\xb3\xe6\xb0\xb4\xe8\xbf\x90\xe5\x8a\xa8\xe5\x91\x98']
reputed,['adj. \xe5\x90\x8d\xe8\xaa\x89\xe5\xa5\xbd\xe7\x9a\x84\xef\xbc\x8c\xe8\xa2\xab\xe7\xa7\xb0\xe4\xb8\xba\xe2\x80\xa6\xe7\x9a\x84\xef\xbc\x8c\xe6\x9c\x89\xe2\x80\xa6\xe5\x90\x8d\xe6\xb0\x94\xe7\x9a\x84']
stamina,['n. \xe4\xbd\x93\xe5\x8a\x9b\xef\xbc\x8c\xe8\x80\x90\xe5\x8a\x9b']
planet,['n. \xe8\xa1\x8c\xe6\x98\x9f']
palette,['n. \xe8\xb0\x83\xe8\x89\xb2\xe6\x9d\xbf\xef\xbc\x8c\xe9\xa2\x9c\xe6\x96\x99']
detect,['vt. \xe5\xaf\x9f\xe8\xa7\x89\xef\xbc\x8c\xe5\x8f\x91\xe8\xa7\x89\xef\xbc\x9b\xe6\x8e\xa2\xe6\xb5\x8b\xef\xbc\x8c\xe4\xbe\xa6\xe6\x9f\xa5']
voluntary,['adj. \xe8\x87\xaa\xe6\x84\xbf\xe7\x9a\x84\xef\xbc\x9b\xe5\xbf\x97\xe6\x84\xbf\xe7\x9a\x84']
steadfast,['adj. \xe5\x9d\x9a\xe5\xae\x9a\xe7\x9a\x84\xef\xbc\x8c\xe5\x9d\x9a\xe4\xbf\xa1\xe7\x9a\x84']
untapped,['adj. \xe6\x9c\xaa\xe4\xbd\xbf\xe7\x94\xa8\xe7\x9a\x84']
crooked,['adj. \xe4\xb8\x8d\xe8\xaf\x9a\xe5\xae\x9e\xe7\x9a\x84\xef\xbc\x9b\xe6\xac\xba\xe8\xaf\x88\xe7\x9a\x84']
subsequent,['adj. \xe9\x9a\x8f\xe5\x90\x8e\xe7\x9a\x84\xef\xbc\x8c\xe5\x90\x8e\xe6\x9d\xa5\xe7\x9a\x84']
definite,['adj. \xe6\xb8\x85\xe6\xa5\x9a\xe7\x9a\x84\xef\xbc\x9b\xe6\x98\x8e\xe7\xa1\xae\xe7\x9a\x84\xef\xbc\x9b\xe7\xa1\xae\xe5\x88\x87\xe7\x9a\x84']
forecast,['n. \xe9\xa2\x84\xe6\xb5\x8b\xef\xbc\x8c\xe9\xa2\x84\xe6\x8a\xa5']
dormitory,['n. \xe5\xae\xbf\xe8\x88\x8d']
spinach,['n. \xe8\x8f\xa0\xe8\x8f\x9c']
pump,['n. \xe6\xb3\xb5']
skyscraper,['n. \xe6\x91\xa9\xe5\xa4\xa9\xe5\xa4\xa7\xe6\xa5\xbc']
gazette,['n. \xe6\x94\xbf\xe5\xba\x9c\xe5\x85\xac\xe6\x8a\xa5']
cautiously,['adv. \xe5\xb0\x8f\xe5\xbf\x83\xe5\x9c\xb0\xef\xbc\x8c\xe8\xb0\xa8\xe6\x85\x8e\xe5\x9c\xb0']
affordable,['adj. \xe8\xb4\x9f\xe6\x8b\x85\xe5\xbe\x97\xe8\xb5\xb7\xe7\x9a\x84\xef\xbc\x8c\xe4\xbe\xbf\xe5\xae\x9c\xe7\x9a\x84']
swift,['adj. \xe8\xbf\x85\xe9\x80\x9f\xe7\x9a\x84\xef\xbc\x8c\xe6\x95\x8f\xe6\x8d\xb7\xe7\x9a\x84']
vie,['v. \xe7\xab\x9e\xe4\xba\x89']
vertical,['adj. \xe5\x9e\x82\xe7\x9b\xb4\xe7\x9a\x84\xef\xbc\x8c\xe7\xab\x96\xe7\x9b\xb4\xe7\x9a\x84']
refine,['vt. \xe7\xb2\xbe\xe7\x82\xbc\xef\xbc\x8c\xe7\xb2\xbe\xe5\x88\xb6']
screen,['n. \xe5\xb1\x8f\xe5\xb9\x95']
blame,['vt. \xe8\xb0\xb4\xe8\xb4\xa3\xef\xbc\x8c\xe8\xb4\xa3\xe5\xa4\x87']
adept,['adj. \xe7\x86\x9f\xe7\xbb\x83\xe7\x9a\x84\xef\xbc\x8c\xe6\x8b\xbf\xe6\x89\x8b\xe7\x9a\x84']
overcharge,['v. \xe7\xb4\xa2\xe4\xbb\xb7\xe8\xbf\x87\xe9\xab\x98']
highlight,['vt. \xe4\xbd\xbf\xe6\x98\xbe\xe8\x91\x97\xef\xbc\x8c\xe7\xaa\x81\xe5\x87\xba']
matchstick,['n. \xe7\x81\xab\xe6\x9f\xb4\xe6\x9d\x86']
article,['n. \xe8\xae\xba\xe6\x96\x87\xef\xbc\x8c\xe6\x96\x87\xe7\xab\xa0']
spark,['n. \xe7\x81\xab\xe8\x8a\xb1\xef\xbc\x8c\xe7\x81\xab\xe6\x98\x9f']
torpor,['n. \xe8\xbf\x9f\xe9\x92\x9d\xef\xbc\x8c\xe4\xb8\x8d\xe6\xb4\xbb\xe6\xb3\xbc']
undermine,['v. \xe6\xb8\x90\xe6\xb8\x90\xe7\xa0\xb4\xe5\x9d\x8f\xef\xbc\x8c\xe6\x9a\x97\xe5\x9c\xb0\xe9\x87\x8c\xe7\xa0\xb4\xe5\x9d\x8f']
emigrant,['n. \xe7\xa7\xbb\xe5\xb1\x85\xe5\xa4\x96\xe5\x9b\xbd\xe8\x80\x85\xef\xbc\x8c\xe7\xa7\xbb\xe6\xb0\x91']
postage,['n. \xe9\x82\xae\xe8\xb5\x84']
oust,['vt. \xe9\xa9\xb1\xe9\x80\x90\xef\xbc\x9b\xe8\xb5\xb6\xe8\xb5\xb0']
circumference,['n. \xe5\x9c\x86\xe5\x91\xa8\xef\xbc\x9b\xe5\x91\xa8\xe9\x95\xbf']
discernible,['adj. \xe5\x8f\xaf\xe8\xaf\x86\xe5\x88\xab\xe7\x9a\x84=discernable']
talented,['adj. \xe6\x9c\x89\xe5\xa4\xa9\xe6\x89\x8d\xe7\x9a\x84\xef\xbc\x8c\xe6\x9c\x89\xe6\x89\x8d\xe8\x83\xbd\xe7\x9a\x84']
rustproof,['adj. \xe4\xb8\x8d\xe9\x94\x88\xe7\x9a\x84']
residence,['n. \xe5\xb1\x85\xe4\xbd\x8f\xef\xbc\x8c\xe4\xbd\x8f\xe5\xa4\x84']
contract,['v. \xe6\x94\xb6\xe7\xbc\xa9']
emit,['vt. \xe5\x8f\x91\xe5\x87\xba\xef\xbc\x8c\xe6\x94\xbe\xe5\xb0\x84']
belie,['vt. \xe7\xbb\x99\xe4\xba\xba\xe9\x94\x99\xe8\xa7\x89\xef\xbc\x9b\xe6\x8e\xa9\xe9\xa5\xb0']
monument,['n. \xe7\xba\xaa\xe5\xbf\xb5\xe7\xa2\x91\xef\xbc\x9b\xe7\xba\xaa\xe5\xbf\xb5\xe7\x89\xa9']
dated,['adj. \xe9\x99\x88\xe6\x97\xa7\xe7\x9a\x84\xef\xbc\x8c\xe8\xbf\x87\xe6\x97\xb6\xe7\x9a\x84']
comet,['n. \xe5\xbd\x97\xe6\x98\x9f']
torrential,['adj. \xe5\xa5\x94\xe6\xb5\x81\xe7\x9a\x84\xef\xbc\x8c\xe5\xa6\x82\xe6\x80\xa5\xe6\xb5\x81\xe7\x9a\x84']
penal,['adj. \xe5\x88\x91\xe7\xbd\x9a\xe7\x9a\x84\xef\xbc\x8c\xe5\x88\x91\xe6\xb3\x95\xe4\xb8\x8a\xe7\x9a\x84']
surplus,['n. \xe8\xbf\x87\xe5\x89\xa9\xef\xbc\x8c\xe5\x89\xa9\xe4\xbd\x99\xef\xbc\x88\xe7\x89\xa9\xe8\xb5\x84\xef\xbc\x89']
retriever,['n. \xe8\x83\xbd\xe6\x8a\x8a\xe7\x8c\x8e\xe7\x89\xa9\xe6\x89\xbe\xe5\x9b\x9e\xe6\x9d\xa5\xe7\x9a\x84\xe7\x8c\x8e\xe7\x8b\x97\xe7\x9a\x84\xe4\xb8\x80\xe7\xa7\x8d']
confined to bed,['\xe8\xaf\x8d\xe7\xbb\x84 \xe5\x8d\xa7\xe7\x97\x85\xe4\xb8\x8d\xe8\xb5\xb7\xe7\x9a\x84']
reside,['vi. \xe5\xb1\x85\xe4\xbd\x8f']
provocation,['n. \xe6\xbf\x80\xe6\x80\x92\xef\xbc\x8c\xe6\x8c\x91\xe6\x8b\xa8\xef\xbc\x8c\xe5\x88\xba\xe6\xbf\x80']
repulse,['vt. \xe5\x87\xbb\xe9\x80\x80']
sphere,['n. \xe7\x90\x83\xe4\xbd\x93']
continuation,['n. \xe7\xbb\xa7\xe7\xbb\xad\xef\xbc\x8c\xe5\xbb\xb6\xe9\x95\xbf']
mandate,['n. \xe5\x91\xbd\xe4\xbb\xa4\xef\xbc\x8c\xe8\xa6\x81\xe6\xb1\x82']
colony,['n. \xe6\xae\x96\xe6\xb0\x91\xe5\x9c\xb0\xef\xbc\x9b\xe7\xbe\xa4\xe4\xbd\x93']
period,['n. \xe6\x97\xb6\xe6\x9c\x9f\xef\xbc\x9b\xe6\x97\xb6\xe4\xbb\xa3']
dispatch,['vt. \xe5\x88\x86\xe6\xb4\xbe\xef\xbc\x8c\xe6\xb4\xbe\xe9\x81\xa3']
accusation,['n. \xe8\xb0\xb4\xe8\xb4\xa3\xef\xbc\x9b\xe6\x8e\xa7\xe5\x91\x8a']
exploit,['vt. \xe5\xbc\x80\xe6\x8b\x93\xef\xbc\x9b\xe5\xbc\x80\xe9\x87\x87\xef\xbc\x8c\xe5\xbc\x80\xe5\x8f\x91']
pierce,['vt. \xe7\xa9\xbf\xe9\x80\x8f\xef\xbc\x8c\xe6\x88\xb3\xe7\xa9\xbf']
cancel,['vt. \xe5\x8f\x96\xe6\xb6\x88']
biographer,['n. \xe4\xbc\xa0\xe8\xae\xb0\xe4\xbd\x9c\xe5\xae\xb6']
bizarre,['adj. \xe5\xa5\x87\xe5\xbc\x82\xe7\x9a\x84\xef\xbc\x8c\xe5\x8f\xa4\xe6\x80\xaa\xe7\x9a\x84']
comprehend,['vt. \xe9\xa2\x86\xe6\x82\x9f\xef\xbc\x8c\xe7\x90\x86\xe8\xa7\xa3']
tub,['n. \xe6\xa1\xb6\xef\xbc\x8c\xe6\xb5\xb4\xe7\x9b\x86']
shuffle the deck,['\xe8\xaf\x8d\xe7\xbb\x84 \xe6\xb4\x97\xe7\x89\x8c']
logic,['n. \xe9\x80\xbb\xe8\xbe\x91\xef\xbc\x8c\xe9\x80\xbb\xe8\xbe\x91\xe5\xad\xa6']
